2021-05-14 16:41:49.156 -04:00 [WRN] Zen.Provider.GitHub.Authentication | Missing ClientId/ClientSecret
2021-05-14 16:41:49.212 -04:00 [DBG] MongoDbAdapter ClassMap | Zen.App.Model.Core.Application
2021-05-14 17:01:54.072 -04:00 [WRN] Zen.Provider.GitHub.Authentication | Missing ClientId/ClientSecret
2021-05-14 17:01:54.127 -04:00 [DBG] MongoDbAdapter ClassMap | Zen.App.Model.Core.Application
2021-05-14 17:04:13.044 -04:00 [WRN] Zen.Provider.GitHub.Authentication | Missing ClientId/ClientSecret
2021-05-14 17:04:13.276 -04:00 [DBG] MongoDbAdapter ClassMap | Zen.App.Model.Core.Application
2021-05-14 17:25:06.070 -04:00 [WRN] Zen.Provider.GitHub.Authentication | Missing ClientId/ClientSecret
2021-05-14 17:25:06.128 -04:00 [DBG] MongoDbAdapter ClassMap | Zen.App.Model.Core.Application
2021-05-14 17:38:08.171 -04:00 [WRN] Zen.Provider.GitHub.Authentication | Missing ClientId/ClientSecret
2021-05-14 17:38:08.230 -04:00 [DBG] MongoDbAdapter ClassMap | Zen.App.Model.Core.Application
