2021-05-26 10:02:16.122 -04:00 [WRN] Zen.Provider.GitHub.Authentication | Missing ClientId/ClientSecret
2021-05-26 10:02:16.180 -04:00 [DBG] MongoDbAdapter ClassMap | Zen.App.Model.Core.Application
2021-05-26 11:40:10.849 -04:00 [WRN] Zen.Provider.GitHub.Authentication | Missing ClientId/ClientSecret
2021-05-26 11:40:10.907 -04:00 [DBG] MongoDbAdapter ClassMap | Zen.App.Model.Core.Application
2021-05-26 11:41:19.660 -04:00 [WRN] Zen.Provider.GitHub.Authentication | Missing ClientId/ClientSecret
2021-05-26 11:41:19.714 -04:00 [DBG] MongoDbAdapter ClassMap | Zen.App.Model.Core.Application
2021-05-26 11:47:14.963 -04:00 [WRN] Zen.Provider.GitHub.Authentication | Missing ClientId/ClientSecret
2021-05-26 11:47:15.025 -04:00 [DBG] MongoDbAdapter ClassMap | Zen.App.Model.Core.Application
2021-05-26 11:48:49.914 -04:00 [WRN] Zen.Provider.GitHub.Authentication | Missing ClientId/ClientSecret
2021-05-26 11:48:49.967 -04:00 [DBG] MongoDbAdapter ClassMap | Zen.App.Model.Core.Application
