Subject,Type,Value,Attribute
Hannah Hutchinson,persName,"Hannah Hutchinson",mlper000253
Hannah Hutchinson,persName,"Hannah Hutchinson",#mlper000253
Hannah Hutchinson,placeName,"Fulneck",#mlpla000003
Hannah Hutchinson,placeName,"Littemoor",#mlpla000052
Hannah Hutchinson,placeName,"Fulneck",#mlpla000003
Hannah Hutchinson,name,"recd into Congn",
Hannah Hutchinson,name,"H Comn",
Hannah Hutchinson,name,"H. Comn",
