Subject,Type,Value,Attribute
Hannah Tordoff,persName,"Hanh Tordoff",#mlper000281
Hannah Tordoff,name,"Childrens meetings",
Hannah Tordoff,placeName,"Gumersal",#mlpla000041
Hannah Tordoff,name,"receiv'd into the Congn",
Hannah Tordoff,name,"Holy Comn",
Hannah Tordoff,name,"receivd",
Hannah Tordoff,name,"H. communion",
Hannah Tordoff,name,"H Sacrament",
