Subject,Type,Value,Attribute
Suzanna Peel,persName,"Susannah Peel",#mlper000261
Suzanna Peel,name,"recived in to the Congregation",
Suzanna Peel,name,"holy Sacrament",
Suzanna Peel,name,"Sacrament",
