Subject,Type,Value,Attribute
Mary Peel,name,"Decenters meetings",
Mary Peel,persName,"Mr Inham",#mlper000536
Mary Peel,placeName,"Yorkshire",#mlpla000084
Mary Peel,name,"receiv'd into the Congregation",
Mary Peel,name,"Congn meetings",
Mary Peel,name,"Holy Sacrement",
Mary Peel,placeName,"Littlemoore",#mlpla000052
Mary Peel,placeName,"fulneck",#mlpla000003
Mary Peel,placeName,"Bedford",#mlpla000025
Mary Peel,placeName,"Fullneck",3mlpla000003
