Subject,Type,Value,Attribute
Esther Clerk,persName,"Esther Cleake",#mlper000233
Esther Clerk,name,"on the 27th of May 1791 at Fulneck enterd into the joy of her Lord In the 76th Year of her age",
Esther Clerk,placeName,"Fulneck",#mlpla000003
Esther Clerk,name,"I was Born at Kirton in Lincolnshire, July 8th 1715f",
Esther Clerk,placeName,"Kirton in Lincolnshire",#mlpla000123
