Subject,Type,Value,Attribute
John Thompson Beck,persName,"John Thompson Beck",#mlper000582
John Thompson Beck,name,"On Sunday August 13th he was he was asur- ably to his earnest desire, acknowledged a member of our Church",
John Thompson Beck,name,"in the evening the H. Communion was administered to him and his parents, in the presence of the other mem- bers of the family and a few friends",
