Subject,Type,Value,Attribute
name,persName,"Mary Gladhill",#mlper000245
name,name,"baptized",
name,placeName,"Gumersal",#mlpla000041
name,name,"she was rec'd into the Congregation",
name,name,"she partook for the first time of the Holy Communion",
name,placeName,"Gumersal",#mlpla000041
name,placeName,"Fulnek",#mlpla000003
name,name,"Holy Communion",
