Subject,Type,Value,Attribute
Mary Oates,persName,"Mary Oates",#mlper000260
Mary Oates,name,"Children's meetings",
Mary Oates,name,"H Comn.",
Mary Oates,placeName,"Fulnec",#mlpla000003
Mary Oates,name,"recd into the Congn",
Mary Oates,name,"H. Comn",
Mary Oates,name,"H Comn",
Mary Oates,placeName,"Jamacia",#mlpla000076
