Memoir, Tag Name, Attribute Name, Attribute Value, Tag Contents
clagget_elizabeth,name,emotion,stillness and composure of mind,stillness &amp; composure of mind,
clagget_elizabeth,name,event,religious,Easter,
clagget_elizabeth,name,event,sacrament,calm bowedness of Heart,
clagget_elizabeth,name,emotion,awe,awe,
clagget_elizabeth,name,emotion,so cheerful lightsome and happy,so chearful lightsome &amp; happy,
clagget_elizabeth,name,emotion,so passionate,so passionate,
clagget_elizabeth,name,emotion,loved,loved,
clagget_elizabeth,name,emotion,longed,long'd,
clagget_elizabeth,name,emotion,tears,Tears,
clagget_elizabeth,name,emotion,wept,Wept,
clagget_elizabeth,name,emotion,heart would be singing,Heart would be singing,
clagget_elizabeth,name,emotion,doubting,doubting,
clagget_elizabeth,name,emotion,relief,relief,
clagget_elizabeth,name,emotion,great reluctance,great Reluctance,
clagget_elizabeth,name,emotion,dear,dear,
clagget_elizabeth,name,emotion,heart went over to him,heart went over to Him,
clagget_elizabeth,name,emotion,pleasing,pleasing,
clagget_elizabeth,name,emotion,blessed,blest,
clagget_elizabeth,name,emotion,comfort and consolation,Comfort &amp; Consolation,
clagget_elizabeth,name,emotion,bitter passion,bitter Passion,
clagget_elizabeth,name,emotion,rejoiced,rejoicd,
clagget_elizabeth,name,emotion,grace,Grace,
clagget_elizabeth,name,event,sacrament,Sacrament,
clagget_elizabeth,name,emotion,blessed,blest,
clagget_elizabeth,name,office,vorestehr,Office of Vorsteher,
clagget_elizabeth,name,emotion,blessing,blessing,
clagget_elizabeth,name,emotion,dear,dear,
clagget_elizabeth,name,emotion,satisfied,satisfied,
clagget_elizabeth,name,emotion,cheered,cheard,
clagget_elizabeth,name,emotion,comforted and contented heart,comforted &amp; contented Heart,
clagget_elizabeth,name,emotion,wished,wish'd,
clagget_elizabeth,name,emotion,hoping,hopeing,
clagget_elizabeth,name,emotion,not quite satisfied,not quite satisfied,
clagget_elizabeth,name,emotion,like,like,
clagget_elizabeth,name,emotion,heart was never easy,heart was never easey,
clagget_elizabeth,name,emotion,blessed,blessed,
clagget_elizabeth,name,emotion,cheerful and contented,chearful &amp; contented,
clagget_elizabeth,name,emotion,thanks,Thanks,
clagget_elizabeth,name,emotion,kindness,kindness,
clagget_elizabeth,name,emotion,happily,happily,
clagget_elizabeth,name,emotion,regretted,regretted,
clagget_elizabeth,name,emotion,comfort,comfort,
clagget_elizabeth,name,emotion,blessed,blessed,
clagget_elizabeth,name,emotion,affectionate concern,affectionate concern,
clagget_elizabeth,name,emotion,painful circumstances,painful Circumstances,
clagget_elizabeth,name,emotion,happy,happy,
clagget_elizabeth,name,emotion,dear,d,
clagget_elizabeth,name,emotion,esteemed,esteem'd,
clagget_elizabeth,name,emotion,beloved,,
clagget_elizabeth,name,event,religious,enjoy'd,
clagget_elizabeth,name,emotion,grace,Grace,
clagget_elizabeth,name,emotion,charmed and captivated,charmd &amp; captivated,
clagget_elizabeth,name,emotion,faithful lover,faithful Lover,
clagget_elizabeth,name,emotion,dear,d,
clagget_elizabeth,name,emotion,happy condition,,
clagget_elizabeth,name,emotion,humiliation,humiliation,
clagget_elizabeth,name,emotion,grace,Grace,
clagget_elizabeth,name,emotion,false crooked and designing,false, crooked &amp; designing,
clagget_elizabeth,name,emotion,regret,regret,
clagget_elizabeth,name,emotion,untired,untir'd,
clagget_elizabeth,name,emotion,hurtful,hurtful,
clagget_elizabeth,name,emotion,joyful,Joyful,
clagget_elizabeth,name,emotion,love,Love,
clagget_elizabeth,name,emotion,comfort,comfort,
clagget_elizabeth,name,emotion,serious,serious,
clagget_elizabeth,name,emotion,trust,trust,
clagget_elizabeth,name,emotion,hearty genuine,hearty genuine,
clagget_elizabeth,name,emotion,sympathize,Sympathize,
clagget_elizabeth,name,emotion,pleasure,pleasure,
clagget_elizabeth,name,emotion,lively spirit happily,lively spirit happily,
clagget_elizabeth,name,emotion,admiration,admiration,
clagget_elizabeth,name,emotion,dear,dear,
clagget_elizabeth,name,emotion,humiliation,humiliation,
clagget_elizabeth,name,emotion,gratitude love and thankfulness,gratitude, Love &amp; thankfulness,
clagget_elizabeth,name,emotion,love,love,
clagget_elizabeth,name,emotion,tenderly,tenderly,
clagget_elizabeth,name,emotion,earnestly,earnestly,
clagget_elizabeth,name,emotion,blessedly,Blessedly,
clagget_elizabeth,name,emotion,dear,D,
tordoff_hannah,name,event,religious,Childrens meetings,
tordoff_hannah,name,event,reception,receiv&apos;d into the ,
tordoff_hannah,name,office,spectator,Spectator,
tordoff_hannah,name,event,reception,receivd,
tordoff_hannah,name,office,spectator,Spectator,
tordoff_hannah,name,event,communion,H. communion,
tordoff_hannah,name,event,sacrament,H Sacrament,
tordoff_hannah,name,office,choir labourer,Choir Lab,
mortimer_sarah,name,event,reception,rec&apos;,
mortimer_sarah,name,event,communion,H. Com,
mortimer_sarah,name,event,reception,rec&apos;,
mortimer_sarah,name,event,reception,rec&apos;,
gledhill_mary_old,name,event,baptism,baptized,
gledhill_mary_old,name,event,reception,she was rec&#39;d into the Congregation,
gledhill_mary_old,name,event,sacrament,she partook for the first time of the Holy Communion,
darnbrook_test,name,event,religious,Ser- ,
darnbrook_test,name,event,religious,Preachings,
darnbrook_test,name,event,reception,Reception,
darnbrook_test,name,event,religious,Provincial Synod,
darnbrook_test,name,event,sacrament,holy Sacrament,
darnbrook_test,name,event,sacrament,holy Sacrament,
darnbrook_test,name,event,religious,Cup of Covenant,
bentley_abigail,name,event,birth" when-iso="1722-08-23,born,
bentley_abigail,name,emotion,afraid,,
bentley_abigail,name,emotion,dear,dear,
bentley_abigail,name,emotion,agreeable,agreable,
bentley_abigail,name,emotion,satisfaction,satisfaction,
bentley_abigail,name,emotion,condemnation,condemnation,
bentley_abigail,name,emotion,very heavy,very ,
bentley_abigail,name,emotion,very much to heart,very much to heart,
bentley_abigail,name,emotion,so very near,so very near,
bentley_abigail,name,emotion,very heavy,very heavy,
bentley_abigail,name,emotion,heavy,heavy,
bentley_abigail,name,emotion,feel a little more of herself,,
bentley_abigail,name,emotion,grace,grace,
bentley_abigail,name,emotion,so cheerfully,so chearfully,
bentley_abigail,name,emotion,wished,wish'd,
bentley_abigail,name,emotion,happy hours for her own heart,happy hours for her own heart,
bentley_abigail,name,emotion,earnest,earnest,
bentley_abigail,name,emotion,cheerful,,
bentley_abigail,name,event,communion,great heavyness,
bentley_abigail,name,emotion,open hearted manner,open hearted manner,
bentley_abigail,name,emotion,love and tenderness,love and tenderness,
bentley_abigail,name,emotion,clearness again in her heart,,
bentley_abigail,name,emotion,pain,pain,
bentley_abigail,name,emotion,pain,removed the ,
bentley_abigail,name,emotion,pretty cheerful,pritty chearful,
bentley_abigail,name,emotion,grace,grace,
bentley_abigail,name,emotion,blessing for her own heart,,
bentley_abigail,name,emotion,heart was truly connected,heart was truly connected,
bentley_abigail,name,emotion,attached,atached,
bentley_abigail,name,emotion,tender attachment,tender atachment,
bentley_abigail,name,emotion,cheerily in fullness,cheerily in fullness,
bentley_abigail,name,emotion,complained,complaind,
haley_joseph,name,event,birth" when-iso="1727-06-25,born,
haley_joseph,name,occupation,#mlocc000013,Clothier,
haley_joseph,name,emotion,cross,Cross,
haley_joseph,name,emotion,satisfaction,Satisfaction,
haley_joseph,name,emotion,heart grew very dead and cold,heart grew very dead &amp; cold,
haley_joseph,name,occupation,holster,Hostler,
haley_joseph,name,occupation,servant,Gentlemans Servant,
haley_joseph,name,emotion,wicked and miserable,wicked &amp; miserable,
haley_joseph,name,emotion,dissatisfied,dissatisfied,
haley_joseph,name,emotion,wicked,wicked,
haley_joseph,name,emotion,no comfort,no comfort,
haley_joseph,name,occupation,minister,Minister,
haley_joseph,name,event,religious,Sermons,
haley_joseph,name,emotion,dislike,Dislike,
haley_joseph,name,emotion,uneasiness,uneasiness,
haley_joseph,name,emotion,great satisfaction,great Satisfaction,
haley_joseph,name,event,reception,received into ,
haley_joseph,name,emotion,happy,happy,
haley_joseph,name,emotion,could never be rightly happy,could never be rightly happy,
haley_joseph,name,emotion,feeling my own misery and wickedness,feeling my own Misery &amp; wickedness,
haley_joseph,name,emotion,very uneasy,very uneasy,
haley_joseph,name,emotion,desire,desired,
haley_joseph,name,emotion,glad and thankful,glad &amp; thankfull,
haley_joseph,name,event,reception,received into the ,
haley_joseph,name,emotion,comfort,comforted,
haley_joseph,name,event,sacrament,holy Sacra ,
haley_joseph,name,emotion,ashamed that my heart does not burn more in love,ashamed that my heart does not burn more in Love,
haley_joseph,name,occupation,cook,Cook,
haley_joseph,name,emotion,happy,happy,
haley_joseph,name,emotion,peevish temper,peevish Temper,
haley_joseph,name,emotion,beloved,beloved,
haley_joseph,name,emotion,free and openhearted,free &amp; openhearted,
haley_joseph,name,emotion,very thankful,very thankful,
haley_joseph,name,emotion,happy,happily,
rothera_esther,name,event,marriage" when-iso="1733,married,
rothera_esther,name,event,religious,Meetings,
rothera_esther,name,event,religious,Meeting,
rothera_esther,name,event,religious,Meetings,
rothera_esther,name,event,reception,she was received into the ,
rothera_esther,name,event,religious,Meetings,
rothera_esther,name,event,religious,Meeting,
rothera_esther,name,event,religious,publick Meeting,
rothera_esther,name,event,sacrament,holy Sacramt,
rothera_esther,name,event,sacrament,Sacramt,
rothera_esther,name,event,religious,Meetg,
willoughby_ann_CWRCtest,name,event,baptism,Sacrament,
willoughby_ann_CWRCtest,name,event,baptism,Holy Sacrament,
